Outdoor Temperature,Outdoor Relative Humidity,Wind Direction,Wind Speed,GHR,DNR,Indoor Temperature
14.17516667,86.0855,238.6601667,0.795166667,144,226,16.98985991
15.40983333,79.03466667,218.6013333,0.428,100,282,17.43951668
15.395,75.62666667,138.1428333,0.415,51,267,17.68573066
15.52783333,72.52666667,138.0206667,1.047333333,12,0,17.50672853
15.85566667,67.7325,223.4663333,1.630833333,74,230,15.8776764
16.62633333,60.65316667,243.7395,1.8325,109,409,17.20425179
14.28366667,71.42866667,227.9986667,3.085666667,124,549,17.00401768
16.14183333,69.259,240.0146667,2.74,155,490,17.49855644
15.4685,66.2555,269.7673333,3.359,154,495,18.14506122
15.32133333,63.91516667,282.6355,2.513666667,134,563,18.23293584
15.50666667,65.30016667,279.8211667,1.932666667,117,591,18.48094697
15.94233333,66.01883333,237.2631667,1.8925,85,519,18.73581478
13.72333333,76.60166667,201.3683333,2.3735,45,310,17.77125829
12.07483333,87.8195,147.0495,2.1295,11,0,15.93195807
12.192,60.68866667,143.8851667,1.138666667,50,202,13.22800624
12.4935,76.14416667,175.6616667,2.392666667,96,327,13.76249865
12.80383333,72.611,100.4168333,3.195833333,156,328,14.2129797
13.10016667,61.35066667,139.3655,1.587,166,357,14.69051175
13.95316667,54.0905,178.1265,1.087166667,149,350,15.38764489
14.81833333,42.45183333,289.0985,3.121333333,147,325,16.18849997
15.02516667,43.30283333,278.9931667,2.451333333,119,404,16.7267754
15.2015,44.36533333,307.724,2.6825,82,395,16.98478285
14.73283333,44.54216667,307.8055,2.073166667,41,311,16.7993283
14.65116667,41.90116667,314.3453333,2.498,8,0,16.37741536
11.8705,71.74783333,120.6605,1.7635,65,140,13.07802962
12.93066667,64.79033333,119.3576667,2.38,94,234,13.67500736
14.95366667,56.93516667,126.9778333,1.508166667,117,406,15.14833399
14.3125,63.40066667,189.0978333,1.1865,160,440,16.07442585
12.849,75.16566667,245.4031667,1.742333333,171,459,15.77562561
12.10516667,81.20166667,177.2088333,0.763,149,457,15.29542887
14.32666667,64.999,173.4425,0.725833333,119,467,16.08417309
14.0875,62.92016667,203.752,0.972666667,84,363,16.63552955
13.454,66.7745,245.3651667,0.903333333,47,243,16.17488737
13.0355,70.22533333,244.6623333,1.640333333,11,0,15.48467041
10.424,75.3425,96.08466667,1.423666667,55,544,12.19107972
11.90866667,63.88466667,108.0798333,2.341666667,67,833,13.00612165
13.914,56.24983333,114.5893333,2.0895,76,917,14.7616602
15.34966667,50.6325,251.7926667,1.846666667,85,937,16.56590899
16.30516667,46.95666667,234.5723333,1.122,88,943,17.99614654
16.92766667,46.24133333,275.7318333,1.468166667,85,928,19.05086323
16.886,48.95916667,239.2835,1.3475,76,878,19.57451536
12.195,76.96516667,250.7838333,2.594166667,62,778,17.76120621
12.5455,72.23733333,207.5048333,1.039,38,590,16.05426309
12.92566667,74.52216667,159.0976667,1.108,11,234,15.7088903
12.3625,58.865,111.4548333,2.807666667,47,640,13.4303486
12.83233333,47.249,84.1725,1.075833333,70,794,14.25376623
13.66233333,62.4195,147.8978333,0.960333333,85,874,15.4033191
13.51966667,62.1845,83.1065,1.763833333,92,909,16.25446218
13.758,60.719,122.5541667,1.858166667,95,915,16.82951291
13.85816667,58.93183333,138.6386667,2.858,96,862,17.26783429
13.015,63.885,94.88166667,2.164666667,94,665,16.99172342
11.67683333,74.54016667,107.4451667,2.671666667,70,425,15.90483264
11.49516667,75.23066667,88.19333333,1.062833333,36,249,14.93602983
12.62516667,63,108.2013333,2.867166667,12,86,14.80532213
11.74266667,67.0605,168.7845,1.248166667,64,298,12.42841253
13.79383333,55.79883333,112.7138333,1.9,115,342,13.84581123
13.17283333,58.699,185.9238333,1.397166667,162,331,14.67799449
14.24,54.52866667,151.0356667,1.796666667,185,457,15.45016555
14.691,52.3725,201.6825,0.860833333,182,594,16.53468531
15.25416667,49.21483333,162.146,1.546666667,166,505,17.3650513
14.2545,54.22466667,179.8248333,1.696833333,136,291,17.24107214
14.33016667,54.10766667,216.4221667,0.8755,96,282,16.87299154
13.6455,59.47283333,214.517,0.9625,50,255,16.34934261
13.04066667,58.43683333,187.55,1.759666667,12,75,15.53640688
11.9025,66.461,128.5495,1.486,55,632,13.00523478
12.83533333,57.11216667,165.1023333,1.189,75,794,13.97977802
13.03583333,61.07283333,198.897,1.162666667,84,884,15.04030169
12.646,52.736,145.5658333,1.212333333,91,915,15.60528674
12.26883333,67.95933333,167.062,0.965166667,93,924,15.8496591
13.86816667,57.27166667,116.5628333,1.225,90,907,16.6839233
14.59366667,53.41283333,203.3921667,1.3215,88,834,17.68470985
14.2145,58.391,219.5293333,1.387166667,75,728,17.80572054
13.2035,67.36983333,182.249,1.8945,45,565,17.06071312
13.10683333,64.29866667,164.5235,1.846833333,14,224,16.22994883
12.45366667,62.55283333,130.7316667,1.409,92,126,13.04636532
14.27166667,57.05733333,115.0608333,1.3725,164,140,14.35865582
15.30666667,53.569,167.4221667,0.6965,223,215,15.71913278
14.854,58.2955,223.9078333,1.9445,230,335,16.33416023
13.7995,64.261,264.9855,2.318666667,211,354,16.22354447
12.04216667,73.52183333,253.8955,1.399833333,177,327,15.4447451
11.31783333,80.53533333,115.2611667,1.1095,141,302,14.63280404
11.2605,80.78733333,166.4833333,0.6215,100,259,14.21388587
12.00183333,76.965,78.04983333,2.3385,52,210,14.24464502
12.7935,67.7905,113.1253333,2.500666667,13,93,14.49307049
11.92466667,79.95233333,114.9605,2.015166667,66,43,13.01525372
12.99616667,69.939,128.5161667,1.9255,103,15,13.55877305
14.17766667,63.94633333,112.75,2.340666667,144,27,14.48783436
14.25116667,70.48816667,162.4315,1.128666667,191,87,15.09920253
14.5755,68.66933333,116.9716667,1.8885,198,103,15.478917
16.714,56.71883333,139.965,1.201333333,191,67,16.60523477
17.66433333,54.63033333,190.8463333,1.820333333,137,37,17.84992146
14.38483333,74.332,238.3546667,1.693166667,58,11,16.91576774
14.24633333,70.82216667,207.7058333,1.99,28,17,15.74952195
13.61683333,77.417,122.0218333,0.997333333,8,12,15.33892523
13.81833333,69.58183333,108.0411667,1.182666667,73,147,14.51780556
14.241,69.50233333,151.2848333,1.589166667,131,225,15.07121314
14.52483333,68.79516667,129.4331667,1.266333333,154,326,15.66745256
15.50616667,67.78416667,155.469,1.523833333,159,387,16.50106687
16.55516667,61.136,130.51,1.623666667,150,432,17.57041372
15.80066667,66.08183333,140.3338333,1.735333333,141,402,17.87345131
14.8935,67.437,121.9575,2.005166667,129,253,17.36368407
14.6275,74.038,107.2371667,1.624833333,95,182,16.88879624
14.44966667,75.6255,133.7433333,0.941333333,52,178,16.53853248
14.922,73.09433333,147.0913333,2.069833333,13,82,16.45269575
14.43633333,69.90566667,125.8203333,0.9245,41,16,14.98822963
14.8015,71.80866667,118.353,2.007666667,103,74,15.35459291
14.74233333,71.69083333,97.29583333,2.413,162,244,15.73475459
14.20333333,78.17783333,93.03566667,1.671333333,177,429,15.92154447
14.1915,77.51266667,99.64483333,1.4605,175,435,16.13201396
14.88316667,76.9715,172.643,1.217,155,375,16.6342153
14.89116667,75.62516667,144.9916667,1.4605,141,325,16.92199218
14.885,76.50533333,142.9886667,1.394166667,110,172,16.85770687
15.16183333,78.70966667,104.6845,1.1415,45,50,16.76821613
15.7015,73.2755,132.3316667,1.341166667,9,15,16.85126831
15.485,66.08716667,120.5851667,1.293,81,140,16.15725508
17.1785,54.02783333,88.52333333,1.3695,151,181,17.14472774
18.30716667,58.04733333,173.248,1.022333333,189,194,18.50766155
19.05633333,56.1005,156.9008333,1.094,167,344,19.53813865
19.00066667,56.4665,226.4991667,0.968166667,179,424,20.14759489
19.1275,56.48366667,204.7626667,1.0445,202,271,20.47281946
19.4455,56.75066667,174.3575,1.264333333,164,202,20.74751751
19.33716667,60.31266667,223.7915,1.389,118,148,20.80216232
19.30033333,62.8515,210.7943333,0.894166667,62,107,20.67173832
18.7335,67.10183333,253.802,0.748666667,13,68,20.28982548
16.41333333,55.81683333,113.2126667,1.304333333,84,225,17.2137878
18.29166667,53.94266667,113.4176667,1.014,146,301,18.31531961
19.27233333,57.6195,139.1545,1.536,167,503,19.8607726
19.26383333,62.29933333,217.2915,1.068833333,169,649,20.85092127
19.03766667,65.97666667,242.3868333,1.893333333,153,765,21.48987168
19.06366667,67.08583333,242.1853333,2.585666667,124,840,21.99215361
19.10133333,68.29566667,277.1238333,2.002,104,824,22.34447462
19.0535,69.799,256.9003333,1.901666667,82,736,22.41207979
19.0705,68.53,223.1833333,1.402,54,563,22.21005943
18.561,70.97633333,290.6523333,1.526,17,236,21.59510021
17.04183333,60.89216667,117.2503333,0.425166667,62,593,17.52845892
18.326,52.95933333,112.072,0.583,91,720,19.01607482
18.2645,52.11983333,114.0593333,0.72,105,799,20.09863899
19.06116667,48.55566667,267.6953333,0.654666667,110,841,21.10922152
19.875,44.99983333,136.6151667,0.670166667,120,808,22.27745877
19.674,52.01416667,150.7013333,0.7065,118,776,22.91249982
19.748,54.775,257.3958333,1.063,100,767,23.13930004
19.74816667,55.03183333,238.2415,1.008166667,79,665,23.16340523
19.6365,54.85883333,184.3961667,1.446333333,60,379,22.83946693
19.08383333,56.26416667,175.2033333,1.5075,26,91,22.10915645
16.83333333,66.072,117.9766667,1.692166667,72,545,18.00888178
18.0175,67.954,118.4208333,1.283,110,638,19.08756562
18.79666667,67.11633333,182.4778333,1.3035,124,740,20.33856158
19.11,67.04683333,237.997,1.118166667,112,849,21.40339458
18.93983333,68.62033333,242.9451667,1.548333333,140,785,22.00540284
18.924,67.89633333,259.9961667,2.4055,183,624,22.24702943
18.588,62.67266667,280.2863333,2.2155,172,506,22.12177439
18.90866667,60.78833333,246.8381667,2.650166667,135,413,22.02104559
18.4935,64.27733333,286.599,2.1025,77,339,21.68032243
17.97666667,64.79633333,303.7205,1.732333333,20,148,20.94687706
16.23416667,60.47416667,98.09566667,1.026333333,70,136,17.10277719
18.24566667,54.1765,74.77733333,0.513833333,124,214,18.2766101
18.14166667,59.28233333,273.5693333,0.822,160,312,19.27961598
18.03483333,62.417,263.8916667,0.969333333,180,399,19.68736828
18.334,63.0695,303.2948333,1.372666667,180,454,20.24964067
18.6825,60.30533333,305.3458333,0.913,157,511,20.87552663
18.9385,58.15616667,295.07,1.472166667,126,566,21.3864376
19.15683333,59.285,290.2695,0.848,96,518,21.68860251
19.49533333,58.866,239.4193333,0.696,60,363,21.8049036
18.663,61.67083333,214.8116667,0.936666667,18,146,21.25748741
16.67916667,62.4165,131.7626667,0.466833333,75,488,17.32079666
18.43516667,58.90833333,180.6403333,0.540833333,111,616,18.78978013
18.31716667,61.75866667,229.5098333,1.019333333,127,701,19.90829094
18.15816667,63.9705,273.7271667,1.205833333,126,774,20.47011954
18.39033333,67.02283333,306.109,1.652833333,121,813,21.06319009
18.5155,63.2985,302.2801667,0.929666667,123,768,21.55550088
18.54216667,63.7295,298.4383333,1.335,119,688,21.79369482
19.11816667,55.1865,269.972,1.2345,93,650,22.02136309
18.59116667,59.02883333,195.8365,1.0305,58,528,21.8180725
18.26183333,62.76366667,206.1038333,1.2475,20,214,21.1602303
18.89433333,37.921,124.4221667,0.447,75,531,19.19725122
20.5665,36.7515,174.9065,0.79,104,663,20.7049656
19.8225,46.9395,268.7511667,0.8205,107,794,21.6326518
20.79583333,51.0875,240.8351667,0.683,108,839,22.49202898
20.45533333,56.54233333,261.7125,1.367833333,109,852,23.27501212
20.43983333,57.66883333,280.5668333,1.336666667,106,837,23.59355289
20.36,63.41133333,200.066,0.730666667,122,678,23.73327254
20.0205,60.16116667,280.1096667,0.5965,136,374,23.38005739
20.22266667,48.2725,192.1198333,0.505,93,152,22.9682214
20.28666667,43.257,180.9893333,0.434,27,52,22.64605267
19.30483333,66.7395,109.3543333,0.472,97,179,20.36271263
20.10416667,55.175,91.39966667,0.635166667,152,187,20.88332264
20.42366667,56.49516667,140.3363333,0.5855,202,150,21.51542269
21.528,41.302,82.393,0.4445,244,198,22.3178419
21.78166667,43.58283333,204.0231667,0.661333333,228,337,23.23553375
